NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
11,1    11U 59001A   25153.19006020  .00002099  00000-0  11138-2 0  9997,2    11  32.8658  82.6484 1448260  55.4131 317.4706 11.89827594831927
12,1    12U 59001B   25153.85067209  .00000596  00000-0  32809-3 0  9996,2    12  32.9077 121.4277 1649786 257.2244  83.9652 11.47743229730298
20,1    20U 59007A   25153.44532178  .00001221  00000-0  48582-3 0  9999,2    20  33.3405 192.9931 1642466 179.4164 180.8783 11.60680131440489
22,1    22U 59009A   25153.17774277  .00012764  00000-0  55246-3 0  9990,2    22  50.2737 164.2466 0092576  43.8875 316.9389 15.18913931497362
29,1    29U 60002B   25153.90683259  .00000875  00000-0  14878-3 0  9998,2    29  48.3798  26.0817 0022003  75.2670 285.0680 14.77999118486126
45,1    45U 60007A   25153.10050668  .00000428  00000-0  13268-3 0  9991,2    45  66.6941 285.2382 0242441  76.1863 286.6087 14.35547436382351
46,1    46U 60007B   25153.81195591  .00000921  00000-0  18798-3 0  9996,2    46  66.6868 181.7806 0202098 220.0525 138.5537 14.53983428401813
47,1    47U 60007C   25153.89059125  .00000771  00000-0  19165-3 0  9999,2    47  66.6655 345.5738 0213935  55.3512 306.7556 14.44711464396440
107,1   107U 61013A   25153.48704059  .00004379  00000-0  52346-3 0  9998,2   107  28.7906 341.6757 0504300 188.6294 170.5325 14.19735409221994
116,1   116U 61015A   25153.18090151  .00000080  00000-0  11982-3 0  9994,2   116  66.8088 100.6032 0075490 185.0069 175.0265 13.92239590244304
117,1   117U 61015B   25153.51158332 -.00000006  00000-0  56001-4 0  9999,2   117  66.8116 210.7027 0080705 208.0541 151.6177 13.90135146241725
118,1   118U 61015C   25153.09390776  .00000163  00000-0  15270-3 0  9998,2   118  66.7642 288.5524 0082226 184.7034 175.3288 14.02564267263354
120,1   120U 61015E   25153.88977069  .00000667  00000-0  27607-3 0  9990,2   120  66.7058 342.4449 0119407 279.2602  79.5007 14.28904845294577
121,1   121U 61015F   25153.52402706  .00000056  00000-0  87976-4 0  9991,2   121  66.7478 265.2341 0100242 270.4462  88.5136 14.00143023273192
122,1   122U 61015G   25153.21766342  .00010196  00000-0  99068-3 0  9997,2   122  66.7424 206.6908 0040035 157.2842 203.0072 14.92336635358213
127,1   127U 61015M   25153.21139198  .00002130  00000-0  59300-3 0  9999,2   127  66.8291 242.9286 0072172 297.8006  61.5798 14.46812189311834
128,1   128U 61015N   25153.15987633  .00000087  00000-0  10508-3 0  9994,2   128  66.6762  50.1856 0098456 222.7923 136.5467 14.01899858262229
130,1   130U 61015Q   25153.16490120  .00000093  00000-0  11400-3 0  9997,2   130  66.7695 114.1481 0087801 201.2700 158.4725 13.99309918258820
132,1   132U 61015S   25153.82107662  .00000013  00000-0  66866-4 0  9997,2   132  66.6586 189.5887 0067096  85.2637 275.6101 13.94696142251263
133,1   133U 61015T   25153.18721783  .00001291  00000-0  61137-3 0  9997,2   133  67.1138 105.1511 0044046  78.8378 281.7667 14.22201107279913
138,1   138U 61015Y   25153.86519875  .00000602  00000-0  42600-3 0  9993,2   138  67.1550 315.5823 0025866  48.1157 312.2133 14.04232717250001
141,1   141U 61015AB  25153.55259667  .00000362  00000-0  35932-3 0  9996,2   141  66.5890 255.8868 0062206 292.5316  66.9184 13.88653751219461
144,1   144U 61015AE  25153.96537110  .00000309  00000-0  30408-3 0  9990,2   144  66.4996 246.3994 0049268 246.5411 113.0482 13.91411444232390
145,1   145U 61015AF  25153.20976015  .00000381  00000-0  28961-3 0  9990,2   145  66.9266 244.9595 0067037 221.8297 137.7655 14.02969323263889
147,1   147U 61015AH  25153.02850832  .00000813  00000-0  38871-3 0  9991,2   147  66.6173 268.3520 0055698 335.5581  24.2873 14.23393338280838
148,1   148U 61015AJ  25153.85984160  .00000873  00000-0  49784-3 0  9996,2   148  65.7738  31.2341 0138956 160.7973 199.8420 14.09970126705970
150,1   150U 61015AL  25153.23174179  .00000659  00000-0  66296-3 0  9991,2   150  66.2460 120.2000 0050441 120.5212 240.0852 13.83445062 56394
154,1   154U 61015AQ  25153.37612062  .00000229  00000-0  18219-3 0  9993,2   154  66.6593  30.1962 0090462 275.4267  83.6504 14.06029236263653
155,1   155U 61015AR  25153.14662492  .00002842  00000-0  75187-3 0  9991,2   155  66.8759 206.9064 0040521 205.0961 154.8180 14.49771899306472
163,1   163U 61018A   25153.06570764 -.00000004  00000-0 -18825-2 0  9999,2   163  91.0964 188.9574 0099424 211.8812 147.6016  8.91838132 80381
196,1   196U 61018D   25153.05374601 -.00000000  00000-0 -64051-3 0  9995,2   196  91.1004 187.1742 0102910  17.9992 342.4484  8.89680139 75253
196,1 00196U 61018D   25153.05374601  .00000000  00000-0 -64051-3 0  9994,2 00196  91.1004 187.1742 0102910  17.9992 342.4484  8.89680139 74847
202,1   202U 61031A   25153.34576652  .00000065  00000-0  49438-4 0  9992,2   202  32.4370 104.8146 0101293 209.5831 149.9031 13.63749610169185
205,1   205U 61031B   25153.71739485  .00000063  00000-0  51311-4 0  9992,2   205  32.4409 254.9298 0102210 336.2562  23.3366 13.62547116167770
210,1   210U 61015BE  25153.19503300  .00000640  00000-0  59141-3 0  9996,2   210  66.4567 223.0928 0048405 204.0377 155.8439 13.88557420213036
223,1   223U 61015BK  25153.74048165  .00000003  00000-0  63613-4 0  9997,2   223  66.8881 161.9448 0073791 238.6607 120.7236 13.88957304238583
224,1   224U 61015BL  25153.08604072  .00001095  00000-0  63385-3 0  9997,2   224  66.7369  36.1967 0071263 297.0333 211.9254 14.11404646259275
226,1   226U 62002A   25153.66793829  .00000248  00000-0  11172-3 0  9995,2   226  48.2963 288.4790 0076098 128.5868 232.1879 14.46951140334366
228,1 00228U 62002C   25153.25388537  .00020531  00000-0  68368-3 0  9994,2 00228  48.4316 141.0579 0008666 153.8290 206.3085 15.30964340384533
230,1   230U 61015BN  25153.68040605  .00000076  00000-0  10683-3 0  9997,2   230  66.8838 261.8185 0086407  86.3409 274.7549 13.96690107253259
232,1   232U 61015BQ  25153.81711742  .00000344  00000-0  28019-3 0  9991,2   232  66.8212  74.3462 0056315   8.3686 351.8324 14.00539249254353
233,1   233U 61015BR  25153.73261866  .00113392  00000-0  42003-2 0  9996,2   233  66.8242 160.0437 0017932 317.1389  42.8360 15.26877832323418
233,1   233U 61015BR  25153.20856966  .00077563  00000-0  28992-2 0  9999,2   233  66.8239 161.6321 0017924 317.4511  42.5247 15.26759743323336
235,1   235U 61015BT  25153.18325618  .00000224  00000-0  14825-3 0  9994,2   235  66.9531 144.9227 0168612 261.4104  96.7851 14.10943620268195
243,1   243U 61015BY  25153.54010924  .00000994  00000-0  71240-3 0  9992,2   243  66.4626 240.4450 0033278 319.9718  39.8911 14.01133185230688
244,1   244U 61015BZ  25153.21752923  .00000219  00000-0  21330-3 0  9994,2   244  66.8412  83.1818 0070964 348.3637  11.5801 13.95560088246562
