NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
47,1    47U 60007C   25119.20683010  .00001327  00000-0  31379-3 0  9991,2    47  66.6645  78.6890 0212717  81.6426 280.8733 14.44643422391436
58,1    58U 60013A   25119.16490187  .00000107  00000-0  36339-4 0  9993,2    58  28.3272  80.5144 0164793  19.5405 341.1369 13.46409437178762
85,1    85U 61004C   25119.16558867  .00549311  00000-0  11371-1 0  9995,2    85  38.6401  21.4845 0050337 156.8936 203.4127 15.41618912187336
133,1   133U 61015T   25119.21964136  .00001484  00000-0  69809-3 0  9992,2   133  67.1144 191.3873 0044368 109.7950 250.7939 14.22129678275089
194,1 00194U 61028C   25119.52455758 -.00000006  00000-0 -71607-3 0  9992,2 00194  95.8224 161.3316 0402073 229.0679 127.4705  8.70094175 17159
226,1   226U 62002A   25119.20840998  .00000553  00000-0  19181-3 0  9994,2   226  48.2957  84.4098 0076667 345.9236  13.9527 14.46922576329360
253,1   253U 61015CE  25119.02411497  .00049702  00000-0  36451-2 0  9992,2   253  66.9110 130.3052 0016301   1.3403 358.7775 15.03116002317328
335,1   335U 61015DM  25119.20103787  .00001724  00000-0  81433-3 0  9996,2   335  66.8388 113.0401 0030117 121.2066 239.1987 14.21890141268839
341,1   341U 62029B   25119.15546414  .00000119  00000-0  11856-2 0  9999,2   341  44.7886 268.4802 2422667 155.0245   8.5392  9.14314038 97701
351,1   351U 61015DR  25119.21194732  .00011760  00000-0  16656-2 0  9990,2   351  66.7432 179.8740 0033206 284.8691  74.8755 14.76927805316811
369,1   369U 62039A   25119.19871980  .00003056  00000-0  29995-3 0  9990,2   369  98.5029 167.6382 0082158  35.1567 325.5031 14.90551260354348
397,1   397U 62047A   25119.18005577  .00003015  00000-0  29836-3 0  9999,2   397  58.3048  61.4626 0005897  12.6115 347.5079 14.94440886371733
414,1   414U 61015EP  25119.18233977  .00000120  00000-0  19555-3 0  9991,2   414  66.4464  29.5518 0047511 358.1896  75.8331 13.77506220205567
461,1   461U 61015EX  25119.20152431  .00017831  00000-0  18130-2 0  9995,2   461  67.4980 178.2500 0028811 356.5486   3.5446 14.90540241324299
480,1   480U 61015FS  25119.21583181  .00003812  00000-0  11875-2 0  9990,2   480  66.2363 105.0768 0073920  38.3773 322.2552 14.40436248295563
516,1   516U 61015FT  25119.00694956  .00000640  00000-0  54511-3 0  9991,2   516  65.9925 114.7027 0082205 357.0790   2.9792 13.92517829231226
545,1   545U 61015GE  25119.21293553  .00000495  00000-0  57992-3 0  9998,2   545  67.2301 155.1032 0160618 358.4629   1.5927 13.70713075174135
644,1   644U 61015GV  25119.21294390  .00001238  00000-0  16252-2 0  9997,2   644  67.0969 165.8236 0137295  48.9036  10.7789 13.60700182141849
669,1   669U 63038A   25119.16471076  .00000070  00000-0  10081-3 0  9991,2   669  89.9879 334.9497 0024896 222.0985 284.6023 13.46103079 24464
733,1   733U 64002A   25119.23688570  .00000514  00000-0  20103-3 0  9991,2   733  99.1128 110.6274 0034075  93.6780 266.8301 14.33790670193670
735,1   735U 64002C   25119.17159054  .00000226  00000-0  10888-3 0  9995,2   735  98.9868  26.9345 0017524  67.6828 292.6207 14.28434658187672
738,1   738U 64003B   25119.27061301 -.00000010  00000-0  00000+0 0  9990,2   738  46.4637  99.8399 2605209 269.8412  60.6887  7.39361500655121
738,1 00738U 64003B   25119.27061301 -.00000010  00000-0  00000-0 0  9991,2 00738  46.4637  99.8399 2605209 269.8412  60.6887  7.39361500654861
815,1   815U 64031C   25119.21017203  .00000309  00000-0  14569-3 0  9992,2   815  99.8151  13.6984 0012117  29.4269 330.7588 14.28281980162325
831,1   831U 64038C   25119.19179805  .00030300  00000-0  28059-2 0  9993,2   831  60.6684 167.1948 1313560 170.9481 191.7926 12.66015531313179
871,1   871U 64051B   25119.20240814  .00000377  00000-0  24087-3 0  9992,2   871  79.8937 165.1711 0086977 169.2047 191.1008 14.00443902 87371
899,1   899U 64064A   25119.21014248  .00000409  00000-0  34905-3 0  9993,2   899  79.6916 219.9611 0120538 189.9765 169.8993 13.82883246 48157
