NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
115,1   115U 60002D   25120.95163830  .00004926  00000-0  46636-3 0  9999,2   115  48.1631 323.6546 0028116 205.1986 154.7561 14.94764472477555
115,1 00115U 60002D   25120.95163830  .00004926  00000-0  46636-3 0  9999,2 00115  48.1631 323.6546 0028116 205.1986 154.7561 14.94764472456394
274,1   274U 62010D   25120.71160757 -.00000024  00000-0 -54720-2 0  9994,2   274  86.6705  33.2512 0353049 313.4631  43.7404  9.39390303162457
274,1 00274U 62010D   25120.71160757 -.00000024  00000-0 -54720-2 0  9994,2 00274  86.6705  33.2512 0353049 313.4631  43.7404  9.39390303162053
340,1   340U 62029A   25120.98887782 -.00000030  00000-0  11409-3 0  9995,2   340  44.8041   6.9344 2423770  42.9135 343.3279  9.12889549 95106
340,1 00340U 62029A   25120.98887782 -.00000030  00000-0  11409-3 0  9995,2 00340  44.8041   6.9344 2423770  42.9135 343.3279  9.12889549 94802
515,1   515U 62068B   25120.82203777 -.00000029  00000-0  00000+0 0  9990,2   515  47.4947 166.4327 2834522 138.0446 247.6093  7.79262228775958
515,1 00515U 62068B   25120.82203777 -.00000029  00000-0  00000-0 0  9991,2 00515  47.4947 166.4327 2834522 138.0446 247.6093  7.79262228775701
553,1   553U 63004A   25120.71661705 -.00000088  00000-0  00000+0 0  9995,2   553  27.5701 281.2360 0788262 188.5400 169.9881  1.16483653229987
553,1 00553U 63004A   25120.71661705 -.00000088  00000-0  00000-0 0  9996,2 00553  27.5701 281.2360 0788262 188.5400 169.9881  1.16483653 31258
608,1 00608U 63014C   25120.74091185 -.00000033  00000-0 -17058-1 0  9993,2 00608  87.3303 232.4293 0053471  71.9614 288.7057  8.65285137957826
628,1   628U 63014F   25120.76744081  .00000003  00000-0  00000+0 0  9999,2   628  87.3188 242.3024 0020776 154.3238 205.8651  8.63371743953644
628,1 00628U 63014F   25120.76744081  .00000003  00000-0  00000-0 0  9990,2 00628  87.3188 242.3024 0020776 154.3238 205.8651  8.63371743953363
2217,1  2217U 66053D   25120.71359246 -.00000109  00000-0  00000+0 0  9999,2  2217   7.8700  47.9258 0035272 199.9261 159.8153  1.07754419135400
2217,1 02217U 66053D   25120.71359246 -.00000109  00000-0  00000-0 0  9990,2 02217   7.8700  47.9258 0035272 199.9261 159.8153  1.07754419135073
2221,1  2221U 66053H   25120.98662688 -.00000079  00000-0  00000+0 0  9996,2  2221   7.6327  50.7582 0079456 163.7677 196.3633  1.06869063229574
2221,1 02221U 66053H   25120.98662688 -.00000079  00000-0  00000-0 0  9997,2 02221   7.6327  50.7582 0079456 163.7677 196.3633  1.06869063 46627
2375,1  2375U 63014W   25120.47600782  .00000131  00000-0  14475-1 0  9992,2  2375  86.4661 108.3988 1637362 272.2478  69.2634  8.74824652899021
2375,1 02375U 63014W   25120.47600782  .00000131  00000-0  14475-1 0  9992,2 02375  86.4661 108.3988 1637362 272.2478  69.2634  8.74824652335330
2381,1  2381U 63014AB  25120.99652057 -.00000016  00000-0 -78784-2 0  9996,2  2381  87.2946 137.5966 0284723 326.2816  32.0216  8.67451619888660
2381,1 02381U 63014AB  25120.99652057 -.00000016  00000-0 -78784-2 0  9996,2 02381  87.2946 137.5966 0284723 326.2816  32.0216  8.67451619355524
2498,1  2498U 66052C   25120.89216051  .00000949  00000-0  84471-3 0  9993,2  2498  40.6282 184.6922 2072091 154.6840 217.1805 10.56184839704604
2498,1 02498U 66052C   25120.89216051  .00000949  00000-0  84471-3 0  9993,2 02498  40.6282 184.6922 2072091 154.6840 217.1805 10.56184839433276
2520,1  2520U 66089B   25120.76637145  .00000005  00000-0  17768-2 0  9993,2  2520  89.8282  33.9279 0015076   3.4180 356.6772  8.58894734839121
2520,1 02520U 66089B   25120.76637145  .00000005  00000-0  17768-2 0  9993,2 02520  89.8282  33.9279 0015076   3.4180 356.6772  8.58894734346540
2652,1  2652U 67003E   25120.74191663 -.00000114  00000-0  00000+0 0  9994,2  2652   7.4798  49.4671 0038627  67.9075 292.3758  1.07943066135644
2652,1 02652U 67003E   25120.74191663 -.00000114  00000-0  00000-0 0  9995,2 02652   7.4798  49.4671 0038627  67.9075 292.3758  1.07943066135666
2876,1  2876U 67065B   25120.97562023 -.00000000  00000-0 -12637-2 0  9994,2  2876  90.0004 313.4692 0071965 136.0155 224.6437  8.36560829144942
2876,1 02876U 67065B   25120.97562023  .00000000  00000-0 -12637-2 0  9993,2 02876  90.0004 313.4692 0071965 136.0155 224.6437  8.36560829355137
2877,1  2877U 67065C   25120.93841664 -.00000023  00000-0 -15422-1 0  9991,2  2877  90.0009 313.7760 0067597 126.4660 234.2429  8.36608864766778
2877,1 02877U 67065C   25120.93841664 -.00000023  00000-0 -15422-1 0  9991,2 02877  90.0009 313.7760 0067597 126.4660 234.2429  8.36608864766509
2888,1  2888U 65089D   25120.62767986 -.00000024  00000-0  34050-3 0  9997,2  2888  59.1991 188.0643 0717968 338.2472 180.9701 11.87420108525920
2888,1 02888U 65089D   25120.62767986 -.00000024  00000-0  34050-3 0  9997,2 02888  59.1991 188.0643 0717968 338.2472 180.9701 11.87420108525492
2976,1  2976U 67036C   25120.27975920 -.00000005  00000-0  19577-3 0  9995,2  2976 102.1149 240.0026 0098392 223.4461 192.2355 12.82086004715248
2976,1 02976U 67036C   25120.27975920 -.00000005  00000-0  19577-3 0  9995,2 02976 102.1149 240.0026 0098392 223.4461 192.2355 12.82086004714797
3125,1  3125U 61015HY  25120.19685487  .00001040  00000-0  18928-2 0  9997,2  3125  67.5588  51.5725 0309659 359.5847 116.0553 13.27211078 93308
3125,1 03125U 61015HY  25120.19685487  .00001040  00000-0  18928-2 0  9997,2 03125  67.5588  51.5725 0309659 359.5847 116.0553 13.27211078 92712
3284,1  3284U 68050A   25120.02638159 -.00000064  00000-0  00000+0 0  9990,2  3284   6.3699  55.3760 0012509 139.3490  20.4337  1.07853851130487
3284,1 03284U 68050A   25120.02638159 -.00000064  00000-0  00000-0 0  9991,2 03284   6.3699  55.3760 0012509 139.3490  20.4337  1.07853851 45752
3286,1  3286U 68050C   25120.09327943 -.00000075  00000-0  00000+0 0  9997,2  3286   6.3759  55.6253 0017757 136.5240  24.6672  1.07757854135409
3286,1 03286U 68050C   25120.09327943 -.00000075  00000-0  00000-0 0  9998,2 03286   6.3759  55.6253 0017757 136.5240  24.6672  1.07757854 43003
3290,1 03290U 68050G   25120.09197623 -.00000077  00000-0  00000-0 0  9995,2 03290   6.1018  57.7903 0058998 124.3611  27.3800  1.07035147 42712
3583,1 03583U 68091R   25120.90679245  .00001596  00000-0  22980-2 0  9999,2 03583  62.0787  88.1708 0706459  44.4525 321.0977 12.85348883631210
3758,1 03758U 68091AV  25120.75879267  .00003070  00000-0  37494-2 0  9997,2 03758  62.2682  40.4969 0770513  18.3161 344.4003 12.81664660561017
