NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
230,1   230U 61015BN  25108.85345951  .00000155  00000-0  16206-3 0  9993,2   230  66.8858  11.9788 0087336 120.9832 239.9867 13.96673077246997
233,1   233U 61015BR  25108.82529672  .00097189  00000-0  45742-2 0  9996,2   233  66.8292 295.4879 0007480   1.1681 358.9479 15.18966269316573
234,1   234U 61015BS  25108.45834619  .00000457  00000-0  33406-3 0  9993,2   234  66.8743 137.8996 0063555  75.6830 285.1302 14.03743177252356
244,1   244U 61015BZ  25108.64100156  .00000222  00000-0  21574-3 0  9990,2   244  66.8412 192.7036 0067342  20.2809 340.0924 13.95535197240343
245,1   245U 61015CA  25108.71706727  .00001447  00000-0  75122-3 0  9993,2   245  66.1042 206.0446 0040072  85.8255 274.7410 14.17381458268115
246,1   246U 61015CB  25108.47494957  .00000024  00000-0  85038-4 0  9994,2   246  66.8672 137.8720 0059192  70.6303 290.1160 13.86085584565487
262,1   262U 61015CJ  25108.53846318  .00006563  00000-0  14748-2 0  9993,2   262  66.4627 158.9299 0061967  19.4220 340.9230 14.55906480297127
268,1   268U 61015CN  25108.51434353  .00000453  00000-0  14893-2 0  9992,2   268  67.9379 265.4434 0646258  93.4971 329.9393 12.51459449900552
271,1   271U 62010A   25108.22220562  .00000020  00000-0  31748-2 0  9993,2   271  86.6784  17.5889 0327501 191.4875 167.8416  9.41307129166059
274,1   274U 62010D   25108.78490748 -.00000000  00000-0 -70835-3 0  9993,2   274  86.6695  34.9756 0353784 328.0048  29.9808  9.39391435161330
299,1   299U 61015CQ  25108.79439181  .00000298  00000-0  37286-3 0  9999,2   299  67.1676 298.2127 0197795 253.7791 104.1437 13.68789877171528
299,1 00299U 61015CQ  25108.94052860  .00000292  00000-0  36710-3 0  9996,2 00299  67.1676 297.8738 0197792 253.6734 104.2505 13.68789934170995
318,1   318U 61015CU  25108.79271115  .00155876  00000-0  23051-2 0  9999,2   318  66.5301 330.0654 0020909 307.2589  52.6663 15.54330007371388
318,1   318U 61015CU  25108.02049863  .00145634  00000-0  21765-2 0  9999,2   318  66.5303 332.5355 0020783 308.2856  51.6433 15.54080843371264
320,1   320U 61015CW  25108.51195865  .00001200  00000-0  45825-3 0  9994,2   320  66.9051  66.5326 0136150 347.2694  12.4977 14.29136527307665
323,1   323U 61015CZ  25108.33221372  .00000983  00000-0  52677-3 0  9990,2   323  66.8375  99.7810 0073502  34.4606 326.1219 14.15809313268824
325,1   325U 61015DB  25108.39055440  .00001779  00000-0  82291-3 0  9998,2   325  66.9123 112.0111 0060126 346.4365  13.5112 14.22173047273132
333,1   333U 61015DK  25108.84080948  .00011748  00000-0  16266-2 0  9993,2   333  66.7030 270.4825 0045387 261.9901  97.6070 14.77559455326536
334,1   334U 61015DL  25108.20608420  .00000040  00000-0  89076-4 0  9999,2   334  66.9220 137.9725 0074525  46.0107 314.7085 13.91654461237361
335,1   335U 61015DM  25108.50931450  .00001286  00000-0  61751-3 0  9997,2   335  66.8385 140.4803 0030875 130.7203 229.6581 14.21846878267319
336,1   336U 61015DN  25108.30670669  .00000167  00000-0  27006-3 0  9990,2   336  67.0277 104.7965 0071705  78.5798  28.8747 13.69064509181581
337,1   337U 61015DP  25108.49895181  .00000577  00000-0  64206-3 0  9997,2   337  67.0090 205.4278 0104088 209.1585 150.3653 13.76035383186733
350,1   350U 61015DQ  25108.51865190  .00000774  00000-0  35809-3 0  9998,2   350  66.9119 238.1287 0118831 111.8840 249.4942 14.22275374303094
355,1   355U 61015DV  25108.48466306  .00000713  00000-0  13398-2 0  9996,2   355  67.2259 213.8640 0238033 147.9912 295.4640 13.33638837 92918
357,1   357U 61015DX  25108.54070029  .00001952  00000-0  11831-2 0  9994,2   357  66.8093 234.5155 0006609 177.7675 182.3444 14.08481595236445
369,1   369U 62039A   25108.72627554  .00003174  00000-0  31143-3 0  9992,2   369  98.5046 156.3653 0082799  68.7429 292.2604 14.90478132352781
