NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
11,1 00011U 59001A   25160.91281254  .00001316  00000-0  69735-3 0  9997,2 00011  32.8675  53.4508 1448313  99.3182 277.3548 11.89852696491102
12,1 00012U 59001B   25160.89957913  .00000337  00000-0  18069-3 0  9993,2 00012  32.9083  96.6284 1649570 294.4798  49.2714 11.47748838488525
16,1 00016U 58002A   25160.67166091 -.00000036  00000-0 -43812-4 0  9995,2 00016  34.2694 302.3933 2023007 347.4328   8.2262 10.49575329649773
20,1 00020U 59007A   25160.41198293  .00000719  00000-0  27641-3 0  9994,2 00020  33.3456 167.9599 1642762 216.6980 130.9245 11.60693794441261
22,1 00022U 59009A   25160.94044171  .00007317  00000-0  32274-3 0  9990,2 00022  50.2728 126.4558 0091891  74.8004 286.3092 15.19066505743587
29,1 00029U 60002B   25160.73484385  .00000526  00000-0  10120-3 0  9995,2 00029  48.3798 353.6717 0022000 105.4221 254.9124 14.78011070487020
45,1 00045U 60007A   25160.62479844  .00000196  00000-0  75104-4 0  9997,2 00045  66.6941 265.3527 0242571  70.5233 292.1899 14.35553538326568
46,1 00046U 60007B   25160.96574893  .00000394  00000-0  93147-4 0  9992,2 00046  66.6866 162.3036 0201532 214.8109 143.9683 14.53993706402871
47,1 00047U 60007C   25160.81331778  .00000342  00000-0  98464-4 0  9990,2 00047  66.6657 326.9862 0214304  50.1169 311.8562 14.44719977397447
50,1 00050U 60009B   25160.55380638 -.00000090  00000-0 -46082-4 0  9997,2 00050  47.2298 238.3584 0113070 343.9576  15.7647 12.20155888892202
50,1 00050U 60009B   25160.47190399 -.00000092  00000-0 -62496-4 0  9990,2 00050  47.2298 238.6126 0113072 343.7136  16.0034 12.20155891892195
51,1 00051U 60009C   25160.90764599 -.00000118  00000-0 -32170-3 0  9992,2 00051  47.2108 121.3111 0106343 170.5830 189.6982 12.18360827885788
53,1 00053U 60009E   25160.72358900 -.00000111  00000-0 -24452-3 0  9996,2 00053  47.2787  51.2582 0100303  54.4123 306.5964 12.17385196890052
58,1 00058U 60013A   25160.46346797  .00000119  00000-0  53929-4 0  9996,2 00058  28.3262 230.9726 0164901   1.4823 358.6189 13.46412165183797
82,1 00082U 61004B   25160.73992296  .00000264  00000-0  23760-3 0  9995,2 00082  38.8623 302.9791 1167869 223.3585 126.9221 12.27651624 31024
107,1 00107U 61013A   25160.65738359  .00002027  00000-0  22981-3 0  9995,2 00107  28.7926 300.4910 0504286 255.3674  99.0483 14.19772845223466
115,1 00115U 60002D   25160.31861516  .00003182  00000-0  30712-3 0  9990,2 00115  48.1614 130.9529 0027619  19.8911 340.3077 14.95070159462283
116,1 00116U 61015A   25160.93928458  .00000015  00000-0  70039-4 0  9992,2 00116  66.8100  81.6226 0074842 179.5649 180.5510 13.92241450244889
117,1 00117U 61015B   25160.49031042  .00000002  00000-0  61618-4 0  9997,2 00117  66.8108 193.6910 0080194 203.3654 156.3773 13.90136091242254
118,1 00118U 61015C   25160.65255680  .00000061  00000-0  88693-4 0  9999,2 00118  66.7643 269.7034 0081618 179.4523 180.6666 14.02567497263896
119,1 00119U 61015D   25160.71397789  .00000780  00000-0  33915-3 0  9998,2 00119  66.7274 277.1004 0099788 174.3891 185.8350 14.26601420305172
120,1 00120U 61015E   25160.81910413  .00000432  00000-0  19005-3 0  9994,2 00120  66.7058 324.3514 0119501 274.5046  84.2408 14.28913230295560
121,1 00121U 61015F   25160.59571087  .00000023  00000-0  66146-4 0  9995,2 00121  66.7476 247.6575 0100266 265.8439  93.1180 14.00144514274201
123,1 00123U 61015H   25160.91492718  .00000730  00000-0  23886-3 0  9994,2 00123  66.6870 340.4899 0109720 186.8199 173.1419 14.40943619325882
125,1 00125U 61015K   25160.95077719  .00000197  00000-0  16037-3 0  9997,2 00125  66.8737 140.9362 0076893 332.1343  27.5635 14.07350304264876
126,1 00126U 61015L   25160.90811097  .00001393  00000-0  42957-3 0  9997,2 00126  66.7102   9.8747 0058869 179.2430 180.8775 14.43417408310848
127,1 00127U 61015M   25160.53884354  .00001243  00000-0  35627-3 0  9993,2 00127  66.8277 223.3342 0072605 292.5637  66.7799 14.46838302312897
128,1 00128U 61015N   25160.93610625  .00000054  00000-0  84199-4 0  9994,2 00128  66.6761  30.7440 0097951 217.6840 141.7356 14.01902267262898
130,1 00130U 61015Q   25160.95555414  .00000010  00000-0  59271-4 0  9998,2 00130  66.7708  94.8304 0087154 195.9455 163.8881 13.99311808259375
131,1 00131U 61015R   25160.71861436  .00000060  00000-0  89527-4 0  9999,2 00131  66.7357 312.1611 0084542 324.9312  34.6222 14.01609227251260
132,1 00132U 61015S   25160.49008848 -.00000002  00000-0  55779-4 0  9994,2 00132  66.6581 173.1060 0067146  80.2712 280.5943 13.94697233251693
133,1 00133U 61015T   25160.92286696  .00000581  00000-0  29498-3 0  9991,2 00133  67.1148  85.5113 0044364  71.9068 288.6855 14.22215869280531
134,1 00134U 61015U   25160.47598376  .00000051  00000-0  88599-4 0  9993,2 00134  66.8801 244.3378 0074453 101.4980 259.4475 13.97610753253611
134,1 00134U 61015U   25160.69066671  .00000054  00000-0  91061-4 0  9996,2 00134  66.8801 243.8093 0074441 101.3265 259.6194 13.97610818253646
136,1 00136U 61015W   25160.29881236  .00001369  00000-0  44811-3 0  9996,2 00136  67.5270 160.8775 0046585   6.6901 353.4820 14.40595053303022
138,1 00138U 61015Y   25160.63148958  .00000398  00000-0  29776-3 0  9997,2 00138  67.1551 298.9330 0026092  41.8917 318.4162 14.04239216250512
141,1 00141U 61015AB  25160.46665143  .00000289  00000-0  29996-3 0  9995,2 00141  66.5885 238.9227 0062551 288.4138  71.0144 13.88659699220063
144,1 00144U 61015AE  25160.57819890  .00000207  00000-0  22397-3 0  9998,2 00144  66.4989 230.0408 0049151 242.9272 116.6785 13.91415781232807
145,1 00145U 61015AF  25160.55239566  .00000282  00000-0  22724-3 0  9990,2 00145  66.9260 226.7590 0066659 216.8264 142.8235 14.02975855264916
147,1 00147U 61015AH  25160.61699690  .00000580  00000-0  28768-3 0  9992,2 00147  66.6170 248.6508 0056337 330.3700  29.4205 14.23406098281429
148,1 00148U 61015AJ  25160.95288786  .00000981  00000-0  55402-3 0  9990,2 00148  65.7733  12.6033 0138463 157.0346 203.7008 14.09984392706486
150,1 00150U 61015AL  25160.89464247  .00000476  00000-0  49906-3 0  9995,2 00150  66.2471 101.3064 0050374 115.3296 245.3004 13.83455311 57458
152,1 00152U 61015AN  25160.45235910  .00000269  00000-0  17697-3 0  9994,2 00152  66.5919 189.4392 0142445  89.9344 271.8066 14.11140379273484
154,1 00154U 61015AQ  25160.91609022  .00000200  00000-0  16521-3 0  9996,2 00154  66.6590  11.2023 0090441 270.6181  88.4542 14.06034830264299
155,1 00155U 61015AR  25160.45913227  .00001624  00000-0  43981-3 0  9992,2 00155  66.8748 187.2982 0039929 199.9397 160.0154 14.49804465307033
158,1 00158U 61015AU  25160.55684377 -.00000041  00000-0  29014-4 0  9992,2 00158  67.0741 220.7996 0602233 110.5318 256.1365 12.66028865958173
159,1 00159U 61015AV  25160.85835756  .00000112  00000-0  41319-3 0  9994,2 00159  65.5269 337.8626 0375206 299.9927  56.4351 13.02891932 32349
162,1 00162U 61017A   25160.68065620  .00000026  00000-0  53431-4 0  9999,2 00162  47.8993 263.0325 0044204 200.6720 159.2385 14.45186748337894
163,1 00163U 61018A   25160.46872748  .00000009  00000-0  26392-2 0  9999,2 00163  91.0951 189.2714 0099558 203.7399 155.8861  8.91838248 80786
172,1 00172U 61015AY  25160.67706207  .00000059  00000-0  16349-3 0  9992,2 00172  67.0682 300.8725 0136980 327.1505  32.1098 13.58958194154495
177,1 00177U 61015BB  25160.92150985  .00000263  00000-0  16959-3 0  9995,2 00177  66.6576  74.5897 0110398 346.1322  13.6741 14.14650455288506
188,1 00188U 61018C   25160.46988127 -.00000007  00000-0 -30632-2 0  9997,2 00188  91.0943 191.9886 0129432  71.5436 289.9458  8.93831677 84890
192,1 00192U 61028A   25160.80276923 -.00000006  00000-0 -97226-3 0  9997,2 00192  95.8347 145.4156 0136142 332.8179  26.5596  8.67772675 16146
194,1 00194U 61028C   25160.45345613  .00000017  00000-0  85013-2 0  9993,2 00194  95.8162 169.9833 0404125 188.6509 170.7216  8.70095108 20711
195,1 00195U 61028D   25160.34267716 -.00000001  00000-0  90843-3 0  9991,2 00195  95.8554 126.3394 0128722  73.3824 288.1118  8.65620661 10763
202,1 00202U 61031A   25160.44739885  .00000055  00000-0  37814-4 0  9994,2 00202  32.4389  69.2464 0101429 263.3813  95.5254 13.63750367170086
202,1 00202U 61031A   25160.88668119  .00000057  00000-0  39440-4 0  9992,2 00202  32.4389  67.0463 0101429 266.7036  92.1977 13.63750406170141
205,1 00205U 61031B   25160.45923751  .00000064  00000-0  53037-4 0  9990,2 00205  32.4393 221.2333 0101956  27.3595 333.2349 13.62547596168204
205,1 00205U 61031B   25160.53251822  .00000062  00000-0  51107-4 0  9996,2 00205  32.4392 220.8670 0101953  27.9159 332.6885 13.62547585168218
210,1 00210U 61015BE  25160.54169053  .00000433  00000-0  42170-3 0  9990,2 00210  66.4559 204.9747 0047968 199.9986 159.9210 13.88566474214059
223,1 00223U 61015BK  25160.65313316 -.00000022  00000-0  43838-4 0  9997,2 00223  66.8885 145.1806 0073468 234.0981 125.3263 13.88958334239132
