NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
261,1   261U 61015CH  25146.57722697  .00000105  00000-0  11908-3 0  9993,2   261  66.6811 297.1662 0094540 242.0796 117.0691 14.00864185257932
261,1 00261U 61015CH  25146.57722697  .00000105  00000-0  11908-3 0  9993,2 00261  66.6811 297.1662 0094540 242.0796 117.0691 14.00864185257932
312,1   312U 62025C   25146.99662187  .00001276  00000-0  23242-3 0  9999,2   312  58.2471 359.6246 0196789 147.5994 213.7302 14.60564334302907
312,1 00312U 62025C   25146.99662187  .00001276  00000-0  23242-3 0  9999,2 00312  58.2471 359.6246 0196789 147.5994 213.7302 14.60564334302479
475,1   475U 61015FM  25146.84886985  .00001885  00000-0  80970-3 0  9992,2   475  66.2222 315.7823 0146526 339.4572  20.0662 14.21345472233247
475,1 00475U 61015FM  25146.84886985  .00001885  00000-0  80970-3 0  9992,2 00475  66.2222 315.7823 0146526 339.4572  20.0662 14.21345472232831
548,1   548U 61015GH  25146.80490699  .00001948  00000-0  29482-3 0  9993,2   548  66.6705 314.1848 0094829  50.4851 310.4603 14.73667530367671
548,1 00548U 61015GH  25146.80490699  .00001948  00000-0  29482-3 0  9993,2 00548  66.6705 314.1848 0094829  50.4851 310.4603 14.73667530346847
558,1   558U 61015GQ  25146.69936716  .00000102  00000-0  40589-3 0  9998,2   558  65.6987 262.7416 0481834 254.1960 220.9539 12.86391394   314
558,1 00558U 61015GQ  25146.69936716  .00000102  00000-0  40589-3 0  9998,2 00558  65.6987 262.7416 0481834 254.1960 220.9539 12.86391394999939
559,1   559U 61015GR  25146.75478982  .00006302  00000-0  11478-2 0  9994,2   559  66.6007 293.5811 0040370  81.9377 278.6316 14.66169914293468
559,1 00559U 61015GR  25146.75478982  .00006302  00000-0  11478-2 0  9994,2 00559  66.6007 293.5811 0040370  81.9377 278.6316 14.66169914292984
608,1   608U 63014C   25146.63673072 -.00000037  00000-0 -18753-1 0  9997,2   608  87.3323 229.9650 0050593  45.1983 315.2969  8.65283253960357
608,1 00608U 63014C   25146.63673072 -.00000037  00000-0 -18753-1 0  9997,2 00608  87.3323 229.9650 0050593  45.1983 315.2969  8.65283253960065
631,1   631U 63030E   25146.27811139  .00000003  00000-0  00000+0 0  9994,2   631  88.4081 238.5149 0169853 108.7173 253.2192  8.55878332932830
631,1 00631U 63030E   25146.27811139  .00000003  00000-0  00000-0 0  9995,2 00631  88.4081 238.5149 0169853 108.7173 253.2192  8.55878332932537
653,1 00653U 61015HE  25146.30151925  .00000626  00000-0  72225-3 0  9996,2 00653  67.4513 337.1287 0163634 286.5086 250.7349 13.69708899164888
655,1   655U 61015HG  25146.88128936  .00000721  00000-0  16306-2 0  9990,2   655  67.2564 327.1641 0368051 226.1362 253.9457 13.09197806 36814
655,1 00655U 61015HG  25146.88128936  .00000721  00000-0  16306-2 0  9990,2 00655  67.2564 327.1641 0368051 226.1362 253.9457 13.09197806 36353
737,1   737U 64003A   25146.73193579 -.00000012  00000-0  00000+0 0  9995,2   737  46.4719  60.7131 2598793 307.9753  31.2862  7.39540515657767
737,1 00737U 64003A   25146.73193579 -.00000012  00000-0  00000-0 0  9996,2 00737  46.4719  60.7131 2598793 307.9753  31.2862  7.39540515657509
831,1   831U 64038C   25146.58385032  .00010997  00000-0  10492-2 0  9999,2   831  60.6704  97.9776 1306692 184.9882 173.6902 12.67006464316643
831,1 00831U 64038C   25146.58385032  .00010997  00000-0  10492-2 0  9999,2 00831  60.6704  97.9776 1306692 184.9882 173.6902 12.67006464316665
837,1   837U 64040B   25146.29392723  .00000551  00000-0  00000+0 0  9997,2   837  48.7673 131.0894 4559936 259.5022   0.3197  0.23988182 53398
837,1 00837U 64040B   25146.29392723  .00000551  00000-0  00000-0 0  9998,2 00837  48.7673 131.0894 4559936 259.5022   0.3197  0.23988182 53792
837,1 00837U 64040B   25146.29620780  .00000551  00000-0  00000-0 0  9995,2 00837  48.7681 131.0869 4559902 259.4997   0.5164  0.23988113 53808
862,1   862U 64047B   25146.00720318 -.00000023  00000-0  00000+0 0  9991,2   862  16.3681  80.9957 7132869 182.7126 168.6638  2.05100742250505
862,1 00862U 64047B   25146.00720318 -.00000023  00000-0  00000-0 0  9992,2 00862  16.3681  80.9957 7132869 182.7126 168.6638  2.05100742250213
1317,1  1317U 65028A   25146.22075017 -.00000278  00000-0  00000+0 0  9992,2  1317   6.2151  67.6085 0005001 129.3600  78.2225  1.00285057123301
1317,1 01317U 65028A   25146.22075017 -.00000278  00000-0  00000-0 0  9993,2 01317   6.2151  67.6085 0005001 129.3600  78.2225  1.00285057123299
1458,1  1458U 65058A   25146.36530308 -.00000903  00000-0  00000+0 0  9990,2  1458  25.1815  20.5842 4933945 302.6143 359.1744  0.21344542 85369
1458,1 01458U 65058A   25146.36530308 -.00000903  00000-0  00000-0 0  9991,2 01458  25.1815  20.5842 4933945 302.6143 359.1744  0.21344542 11223
1479,1 01479U 65020BD  25146.75179023  .00000305  00000-0  80845-3 0  9992,2 01479  56.0358 293.4550 0739221 250.1493 101.8325 12.59780924747663
1480,1 01480U 65020BE  25146.66307402 -.00000115  00000-0 -23684-4 0  9998,2 01480  56.0756 342.5046 0834457 261.6884  88.8680 12.64260506761233
1835,1  1835U 65082EA  25146.74894214  .00003602  00000-0  24310-3 0  9999,2  1835  32.3955 307.3165 0012231 117.2661 242.9249 15.05223774210454
1835,1 01835U 65082EA  25146.74894214  .00003602  00000-0  24310-3 0  9999,2 01835  32.3955 307.3165 0012231 117.2661 242.9249 15.05223774189022
1948,1 01948U 65098F   25146.92161447  .00008674  00000-0  16101-2 0  9998,2 01948  79.8446 320.4698 0769532 143.0533 222.6255 13.56619058756708
2009,1 02009U 61028E   25146.39174477 -.00000006  00000-0 -10877-2 0  9991,2 02009  95.8181 148.6695 0121688 276.9354  81.7671  8.68991169356401
2088,1 02088U 65093D   25146.99820308  .00001583  00000-0  33931-3 0  9997,2 02088  59.7144 106.1535 0087284  61.0213 299.9549 14.60867614 97447
2118,1 02118U 66008D   25146.36976150  .00000341  00000-0  98113-4 0  9991,2 02118  98.0051 293.4133 0126431 329.6723  29.7196 14.46194202 79903
2140,1  2140U 66005C   25146.98580499  .00000107  00000-0  11820-3 0  9997,2  2140  89.9505  52.3753 0314824 220.3220 137.4202 13.48237122906864
2140,1 02140U 66005C   25146.98580499  .00000107  00000-0  11820-3 0  9997,2 02140  89.9505  52.3753 0314824 220.3220 137.4202 13.48237122906415
2217,1  2217U 66053D   25146.69727932 -.00000116  00000-0  00000+0 0  9993,2  2217   7.9178  47.7068 0035207 199.7154 159.9921  1.07754594135682
2217,1 02217U 66053D   25146.69727932 -.00000116  00000-0  00000-0 0  9994,2 02217   7.9178  47.7068 0035207 199.7154 159.9921  1.07754594135356
2219,1  2219U 66053F   25146.35490125 -.00000098  00000-0  00000+0 0  9998,2  2219   7.8246  48.8564 0051529 179.4763 180.3687  1.07398815135225
2219,1 02219U 66053F   25146.35490125 -.00000099  00000-0  00000-0 0  9990,2 02219   7.8246  48.8564 0051529 179.4763 180.3687  1.07398815 52379
2221,1  2221U 66053H   25146.24974570 -.00000135  00000-0  00000+0 0  9992,2  2221   7.6812  50.5449 0079711 164.0288 196.0558  1.06869932229847
2221,1 02221U 66053H   25146.24974570 -.00000135  00000-0  00000-0 0  9993,2 02221   7.6812  50.5449 0079711 164.0288 196.0558  1.06869932 46899
2223,1  2223U 66016C   25146.58422546 -.00000025  00000-0  72508-4 0  9996,2  2223 100.7734 183.2661 0093042 320.4640 193.9787 12.87753672777639
2223,1 02223U 66016C   25146.58422546 -.00000025  00000-0  72508-4 0  9996,2 02223 100.7734 183.2661 0093042 320.4640 193.9787 12.87753672777190
2226,1  2226U 65109D   25146.55414735  .00000176  00000-0  20572-3 0  9998,2  2226  89.0655 343.5768 0249805  82.8184 280.1293 13.51143508901873
2226,1 02226U 65109D   25146.55414735  .00000176  00000-0  20572-3 0  9998,2 02226  89.0655 343.5768 0249805  82.8184 280.1293 13.51143508901479
2255,1 02255U 66056B   25146.94668334  .00000004  00000-0  20281-2 0  9997,2 02255  86.9622 213.2038 0048837  58.0911 302.4635  7.94756964709637
2359,1  2359U 63014J   25146.41283692  .00004227  00000-0  92870+0 0  9996,2  2359  86.9308  51.4497 1177912 133.6660 236.8131  8.71082833881043
2359,1 02359U 63014J   25146.41283692  .00004227  00000-0  92870+0 0  9996,2 02359  86.9308  51.4497 1177912 133.6660 236.8131  8.71082833881043
2364,1  2364U 63014P   25146.44079540 -.00000615  00000-0 -22615+0 0  9999,2  2364  87.5613 316.1126 0674277  82.6818 285.0119  8.67483252962427
2364,1 02364U 63014P   25146.44079540 -.00000615  00000-0 -22615+0 0  9999,2 02364  87.5613 316.1126 0674277  82.6818 285.0119  8.67483252962438
2367,1  2367U 63014S   25146.45311894  .00000000  00000-0  00000+0 0  9994,2  2367  84.6774 158.0492 2718293 229.6857 103.3293  8.91863860977414
2367,1 02367U 63014S   25146.45311894  .00000000  00000-0  00000-0 0  9995,2 02367  84.6774 158.0492 2718293 229.6857 103.3293  8.91863860977290
2375,1  2375U 63014W   25146.54773927 -.00001624  00000-0 -18170+0 0  9994,2  2375  86.4733 104.8111 1624051 243.4274  99.1358  8.74807080901301
2375,1 02375U 63014W   25146.54773927 -.00001624  00000-0 -18170+0 0  9994,2 02375  86.4733 104.8111 1624051 243.4274  99.1358  8.74807080337618
2380,1  2380U 63014AA  25146.86890549 -.00000001  00000-0 -14373-2 0  9997,2  2380  87.2218 116.7813 0444408 213.5222 143.6762  8.68095672964965
2380,1 02380U 63014AA  25146.86890549 -.00000001  00000-0 -14373-2 0  9997,2 02380  87.2218 116.7813 0444408 213.5222 143.6762  8.68095672357545
2381,1  2381U 63014AB  25146.94270241  .00000138  00000-0  59998-1 0  9998,2  2381  87.2914 135.0712 0276786 298.7695  58.5620  8.67454712890915
2381,1 02381U 63014AB  25146.94270241  .00000138  00000-0  59998-1 0  9998,2 02381  87.2914 135.0712 0276786 298.7695  58.5620  8.67454712357777
2386,1 02386U 66024D   25146.53036552  .00000274  00000-0  23187-3 0  9991,2 02386  90.0501 329.4226 0130536  76.4996 285.0678 13.81360862268564
2412,1  2412U 66077C   25146.28030448  .00000002  00000-0  00000+0 0  9993,2  2412  90.3355 272.7083 0008366  97.2186 262.9616  8.59078114841313
2412,1 02412U 66077C   25146.28030448  .00000002  00000-0  00000-0 0  9994,2 02412  90.3355 272.7083 0008366  97.2186 262.9616  8.59078114357236
2431,1  2431U 63014AC  25146.63242375 -.00000354  00000-0 -14951+0 0  9997,2  2431  87.4998 227.0484 0392967 356.7299   3.1013  8.68609417892456
2431,1 02431U 63014AC  25146.63242375 -.00000354  00000-0 -14951+0 0  9997,2 02431  87.4998 227.0484 0392967 356.7299   3.1013  8.68609417336145
2644,1  2644U 66041D   25146.92782845  .00000259  00000-0  21118-3 0  9998,2  2644  90.1544  38.8278 0215111  97.1168 265.4510 13.76947093945527
2644,1 02644U 66041D   25146.92782845  .00000259  00000-0  21118-3 0  9998,2 02644  90.1544  38.8278 0215111  97.1168 265.4510 13.76947093945538
2645,1  2645U 67003A   25146.48540757 -.00000056  00000-0  00000+0 0  9992,2  2645   7.6254  48.0657 0034811 110.4310  60.9365  1.08316517230253
2645,1 02645U 67003A   25146.48540757 -.00000056  00000-0  00000-0 0  9993,2 02645   7.6254  48.0657 0034811 110.4310  60.9365  1.08316517230264
2651,1 02651U 67003D   25146.50688337 -.00000099  00000-0  00000-0 0  9997,2 02651   7.5390  48.6009 0035299  85.0523  47.4779  1.08105422136560
2685,1 02685U 67014F   25146.76959724  .00002177  00000-0  39844-3 0  9994,2 02685  38.9385 319.8743 0364060 324.0752  33.6018 14.32219317911977
2706,1  2706U 67006C   25146.00649568 -.00000044  00000-0  23657-4 0  9996,2  2706 102.2129 164.9537 0035697  80.9178 336.1035 12.60919633684203
2706,1 02706U 67006C   25146.00649568 -.00000044  00000-0  23657-4 0  9996,2 02706 102.2129 164.9537 0035697  80.9178 336.1035 12.60919633683752
2707,1  2707U 67006D   25146.81763705 -.00000017  00000-0  13055-3 0  9996,2  2707 101.8407  93.4855 0149562  64.7143 352.9406 12.79383688723337
2707,1 02707U 67006D   25146.81763705 -.00000017  00000-0  13055-3 0  9996,2 02707 101.8407  93.4855 0149562  64.7143 352.9406 12.79383688722943
